Year,InflationRate,Wrong
2022,6.7,6.70%
2021,5.13,5.13%
2020,6.62,6.62%
2019,3.73,3.73%
2018,3.94,3.94%
2017,3.33,3.33%
2016,4.95,4.95%
2015,4.91,4.91%
2014,6.67,6.67%
2013,10.02,10.02%
2012,9.48,9.48%
2011,8.91,8.91%
2010,11.99,11.99%
2009,10.88,10.88%
2008,8.35,8.35%
2007,6.37,6.37%
2006,5.8,5.80%
2005,4.25,4.25%
2004,3.77,3.77%
2003,3.81,3.81%
2002,4.3,4.30%
2001,3.78,3.78%
2000,4.01,4.01%
1999,4.67,4.67%
1997,7.16,7.16%
1996,8.98,8.98%
1995,10.22,10.22%
1994,10.25,10.25%
1993,6.33,6.33%
1992,11.79,11.79%
1990,8.97,8.97%
1989,7.07,7.07%
1988,9.38,9.38%
1987,8.8,8.80%
1986,8.73,8.73%
1985,5.56,5.56%
1984,8.32,8.32%
1983,11.87,11.87%
1982,7.89,7.89%
1980,11.35,11.35%
1979,6.28,6.28%
1978,2.52,2.52%
1977,8.31,8.31%
1975,5.75,5.75%
1972,6.44,6.44%
1971,3.08,3.08%
1970,5.09,5.09%
1968,3.24,3.24%
1966,10.8,10.80%
1965,9.47,9.47%
1963,2.95,2.95%
1962,3.63,3.63%
1961,1.7,1.70%
1960,1.78,1.78%
